"성별","연령계층별",2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"계","계",3.0,2.9,2.5,1.9,2.1,2.3
"계","15 - 29세",6.7,6.2,5.5,4.1,5.1,5.5
"계","15 - 19세",7.5,7.8,7.7,6.1,4.2,4.8
"계","20 - 29세",6.7,6.1,5.5,4.0,5.1,5.6
"계","30 - 39세",2.9,3.1,2.8,2.4,2.2,2.3
"계","40 - 49세",2.2,2.4,1.8,1.3,1.5,1.7
"계","50 - 59세",2.0,1.8,1.5,1.2,1.4,1.7
"계","60세이상",2.4,2.3,2.1,1.5,1.6,1.6
"계","15 - 64세",3.2,3.1,2.7,2.1,2.3,2.5
"계","15 - 24세",6.8,6.3,5.7,4.4,4.3,5.4
"남자","계",3.1,3.0,2.5,2.0,2.1,2.4
"남자","15 - 29세",7.5,6.7,6.1,4.0,4.6,5.5
"남자","15 - 19세",11.6,11.0,10.5,8.6,0.9,8.1
"남자","20 - 29세",7.4,6.5,5.9,3.8,4.8,5.4
"남자","30 - 39세",2.8,2.9,2.8,2.5,2.4,2.7
"남자","40 - 49세",2.4,2.4,1.6,1.2,1.4,1.6
"남자","50 - 59세",2.2,1.9,1.5,1.3,1.4,1.9
"남자","60세이상",2.9,2.7,2.5,1.8,2.0,2.0
"남자","15 - 64세",3.3,3.1,2.7,2.0,2.2,2.6
"남자","15 - 24세",6.6,5.7,5.3,4.1,2.7,6.0
"여자","계",2.7,2.8,2.4,1.9,2.1,2.1
"여자","15 - 29세",6.0,5.8,5.1,4.2,5.5,5.6
"여자","15 - 19세",4.5,5.1,5.8,4.2,6.3,3.1
"여자","20 - 29세",6.0,5.8,5.0,4.2,5.5,5.7
"여자","30 - 39세",3.0,3.4,2.8,2.4,1.9,1.7
"여자","40 - 49세",2.1,2.4,2.1,1.4,1.6,1.9
"여자","50 - 59세",1.8,1.6,1.4,1.1,1.4,1.4
"여자","60세이상",1.8,1.8,1.7,1.1,1.1,1.0
"여자","15 - 64세",3.0,3.0,2.7,2.1,2.4,2.4
"여자","15 - 24세",7.0,6.7,6.0,4.7,5.3,4.9
